0,1,2
AERDB_D3_VIIRS_SNPP,5111:5110,VIIRS:Suomi-NPP
AERDB_L2_VIIRS_SNPP,5111:5110,VIIRS:Suomi-NPP
AERDB_M3_VIIRS_SNPP,5111:5110,VIIRS:Suomi-NPP
AERDT_L2_VIIRS_SNPP,5111,VIIRS:Suomi-NPP
CLDCR_L2_VIIRS_SNPP,5110,VIIRS:Suomi-NPP
CLDMSK_L2_MODIS_Aqua,5110,MODIS:Aqua
CLDMSK_L2_VIIRS_NOAA20,5110,VIIRS:NOAA20
CLDMSK_L2_VIIRS_SNPP,5110,VIIRS:Suomi-NPP
CLDPROP_D3_MODIS_Aqua,5111:5110,MODIS:Aqua
CLDPROP_D3_VIIRS_NOAA20,5111,VIIRS:NOAA20
CLDPROP_D3_VIIRS_SNPP,5111:5110,VIIRS:Suomi-NPP
CLDPROP_L2_MODIS_Aqua,5111,MODIS:Aqua
CLDPROP_L2_VIIRS_NOAA20,5111,VIIRS:NOAA20
CLDPROP_L2_VIIRS_SNPP,5111,VIIRS:Suomi-NPP
CLDPROP_M3_MODIS_Aqua,5111:5110,MODIS:Aqua
CLDPROP_M3_VIIRS_NOAA20,5111,VIIRS:NOAA20
CLDPROP_M3_VIIRS_SNPP,5111:5110,VIIRS:Suomi-NPP
EN1_MDSI_MER_FRS_1P,489,MERIS:Envisat
EN1_MDSI_MER_FRS_2P,489,MERIS:Envisat
EN1_MDSI_MER_RR__1P,489,MERIS:Envisat
EN1_MDSI_MER_RR__2P,489,MERIS:Envisat
FSNRAD_L2_VIIRS_CRIS_NOAA20,5200:5110,VIIRS-CrIS fusion:NOAA20
FSNRAD_L2_VIIRS_CRIS_SNPP,5200:5110,VIIRS-CrIS fusion:Suomi-NPP
M1_AVH02C1,465,AVHRR:MetOP-B
M1_AVH09C1,465,AVHRR:MetOP-B
M1_AVH13C1,465,AVHRR:MetOP-B
MCD06COSP_D3_MODIS,61,MODIS:Combined-Terra-Aqua
MCD06COSP_M3_MODIS,61,MODIS:Combined-Terra-Aqua
MCD12C1,6,MODIS:Combined-Terra-Aqua
MCD12Q1,6,MODIS:Combined-Terra-Aqua
MCD12Q1C,6,MODIS:Combined-Terra-Aqua
MCD12Q2,6,MODIS:Combined-Terra-Aqua
MCD15A2H,6:61,MODIS:Combined-Terra-Aqua
MCD15A3H,6:61,MODIS:Combined-Terra-Aqua
MCD18A1,6,MODIS:Combined-Terra-Aqua
MCD18A2,6,MODIS:Combined-Terra-Aqua
MCD18C1,6,MODIS:Combined-Terra-Aqua
MCD18C2,6,MODIS:Combined-Terra-Aqua
MCD19A1,6,MODIS:Combined-Terra-Aqua
MCD19A2,6,MODIS:Combined-Terra-Aqua
MCD19A3,6,MODIS:Combined-Terra-Aqua
MCD19A3D,6,MODIS:Combined-Terra-Aqua
MCD43A1,6:61,MODIS:Combined-Terra-Aqua
MCD43A1C,6,MODIS:Combined-Terra-Aqua
MCD43A2,6:61,MODIS:Combined-Terra-Aqua
MCD43A2C,6,MODIS:Combined-Terra-Aqua
MCD43A3,6:61,MODIS:Combined-Terra-Aqua
MCD43A3C,6,MODIS:Combined-Terra-Aqua
MCD43A4,6:61,MODIS:Combined-Terra-Aqua
MCD43A4C,6,MODIS:Combined-Terra-Aqua
MCD43C1,6:61,MODIS:Combined-Terra-Aqua
MCD43C2,6:61,MODIS:Combined-Terra-Aqua
MCD43C3,6:61,MODIS:Combined-Terra-Aqua
MCD43C4,6:61,MODIS:Combined-Terra-Aqua
MCD43D01,6:61,MODIS:Combined-Terra-Aqua
MCD43D02,6:61,MODIS:Combined-Terra-Aqua
MCD43D03,6:61,MODIS:Combined-Terra-Aqua
MCD43D04,6:61,MODIS:Combined-Terra-Aqua
MCD43D05,6:61,MODIS:Combined-Terra-Aqua
MCD43D06,6:61,MODIS:Combined-Terra-Aqua
MCD43D07,6:61,MODIS:Combined-Terra-Aqua
MCD43D08,6:61,MODIS:Combined-Terra-Aqua
MCD43D09,6:61,MODIS:Combined-Terra-Aqua
