id,metadataid,satelliteid,sensorid,productid,imagingmode,sceneid,productlevel,cloudpercent,scenetime,strip,orbit,imagegsd,dataarchivedir,geom,satellitetype,sublevel,browsefilelocation,thumbfilelocation,satellite_sensor,stationlongi1,stationlati1,stationheigh1,starttime,endtime,rollsatelliteangle,pitchsatelliteangle,productname,bandsid,datasetid,orbitaccuracy,subsensorlist,areaname
53059d3c-6f14-a7ac-041d-178b59318bd5,GF1B-PMS-LEVEL1A-1228142174,GF1B,PMS,1228142174,,790778,1,11,2022-05-21,133330,22310,8.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220521/GF1B_PMS_E123.3_N34.1_20220521_L1A1228142174.tar.gz,"POLYGON((123.050272 34.579964,123.814526 34.425154,123.631103 33.814182,122.872217 33.968167,123.050272 34.579964))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220521/GF1B_PMS_E123.3_N34.1_20220521_L1A1228142174.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220521/GF1B_PMS_E123.3_N34.1_20220521_L1A1228142174_thumb.jpg,GF1B_PMS,,,,2022-05-21T02:54:08.000+0000,2022-05-21T02:54:18.000+0000,15.462369,-0.039983,,,,,,
51f3fe74-517a-e227-ba71-cc0f4e56c03c,GF1B-PMS-LEVEL1A-1228129891,GF1B,PMS,1228129891,,778228,1,0,2022-04-22,132895,21882,8.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220422/GF1B_PMS_E123.1_N34.1_20220422_L1A1228129891.tar.gz,"POLYGON((122.853839 34.48114,123.559949 34.349375,123.396759 33.755689,122.695593 33.886985,122.853839 34.48114))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220422/GF1B_PMS_E123.1_N34.1_20220422_L1A1228129891.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220422/GF1B_PMS_E123.1_N34.1_20220422_L1A1228129891_thumb.jpg,GF1B_PMS,,,,2022-04-22T02:47:53.000+0000,2022-04-22T02:48:03.000+0000,0.036896,-0.023948,,,,,,
4f2a5d80-4891-972c-cc15-aed3e5cbc90a,GF1B-PMS-LEVEL1A-1228112246,GF1B,PMS,1228112246,,760563,1,25,2022-03-12,132276,21277,8.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220312/GF1B_PMS_E123.1_N34.1_20220312_L1A1228112246.tar.gz,"POLYGON((122.875777 34.484041,123.586565 34.351361,123.422193 33.754046,122.716364 33.886257,122.875777 34.484041))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220312/GF1B_PMS_E123.1_N34.1_20220312_L1A1228112246.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220312/GF1B_PMS_E123.1_N34.1_20220312_L1A1228112246_thumb.jpg,GF1B_PMS,,,,2022-03-12T02:48:54.000+0000,2022-03-12T02:49:04.000+0000,0.030648,-0.021096,,,,,,
0a875401-d7cd-090f-b08f-09266bdb15ce,GF1B-PMS-LEVEL1A-1228079757,GF1B,PMS,1228079757,,727822,1,4,2021-12-28,131135,20185,8.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20211228/GF1B_PMS_E123.2_N34.1_20211228_L1A1228079757.tar.gz,"POLYGON((122.855014 34.433339,123.586725 34.3066,123.429938 33.704427,122.703467 33.830828,122.855014 34.433339))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20211228/GF1B_PMS_E123.2_N34.1_20211228_L1A1228079757.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20211228/GF1B_PMS_E123.2_N34.1_20211228_L1A1228079757_thumb.jpg,GF1B_PMS,,,,2021-12-28T02:45:52.000+0000,2021-12-28T02:46:02.000+0000,-9.373896,-0.016648,,,,,,
fb4092fe-b439-939b-24a4-c6124302bcba,GF1B-PMS-LEVEL1A-1228076149,GF1B,PMS,1228076149,,724255,1,0,2021-12-20,131001,20067,8.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20211220/GF1B_PMS_E123.1_N34.1_20211220_L1A1228076149.tar.gz,"POLYGON((122.864517 34.48348,123.572942 34.35121,123.409005 33.755599,122.705559 33.8874,122.864517 34.48348))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20211220/GF1B_PMS_E123.1_N34.1_20211220_L1A1228076149.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20211220/GF1B_PMS_E123.1_N34.1_20211220_L1A1228076149_thumb.jpg,GF1B_PMS,,,,2021-12-20T02:50:48.000+0000,2021-12-20T02:50:58.000+0000,0.026763,-0.015325,,,,,,
1bf15cd2-4fc2-a2ce-3ab2-fa71b26e1490,GF1B-PMS-LEVEL1A-1228021319,GF1B,PMS,1228021319,,669994,1,1,2021-08-19,129190,18252,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210819/GF1B_PMS_E123.2_N34.1_20210819_L1A1228021319.tar.gz,"POLYGON((122.916098 34.48693,123.626213 34.35402,123.461522 33.756932,122.756394 33.889367,122.916098 34.48693))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210819/GF1B_PMS_E123.2_N34.1_20210819_L1A1228021319.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210819/GF1B_PMS_E123.2_N34.1_20210819_L1A1228021319_thumb.jpg,GF1B_PMS,,,,2021-08-19T02:52:44.000+0000,2021-08-19T02:52:54.000+0000,0.045077,0.010097,,,,,,
deb30e72-05b5-3d35-4504-5ad11c622d90,GF1B-PMS-LEVEL1A-1227983738,GF1B,PMS,1227983738,,632304,1,0,2021-05-29,127981,17042,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210529/GF1B_PMS_E123.2_N34.1_20210529_L1A1227983738.tar.gz,"POLYGON((122.880807 34.479186,123.585848 34.347189,123.422489 33.754558,122.722365 33.886087,122.880807 34.479186))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210529/GF1B_PMS_E123.2_N34.1_20210529_L1A1227983738.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210529/GF1B_PMS_E123.2_N34.1_20210529_L1A1227983738_thumb.jpg,GF1B_PMS,,,,2021-05-29T02:53:55.000+0000,2021-05-29T02:54:05.000+0000,0.043161,-0.040745,,,,,,
5028c633-5cb6-73ed-f3bc-d03551da9ffa,GF1B-PMS-LEVEL1A-1228141253,GF1B,PMS,1228141253,,789931,1,52,2022-05-19,133298,22281,8.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220519/GF1B_PMS_E108.3_N31.9_20220519_L1A1228141253.tar.gz,"POLYGON((107.987928 32.251826,108.673558 32.122243,108.517325 31.530493,107.836054 31.659675,107.987928 32.251826))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220519/GF1B_PMS_E108.3_N31.9_20220519_L1A1228141253.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220519/GF1B_PMS_E108.3_N31.9_20220519_L1A1228141253_thumb.jpg,GF1B_PMS,,,,2022-05-19T03:44:52.000+0000,2022-05-19T03:45:02.000+0000,0.042451,-0.04451,,,,,,
ad4f89fc-5fe6-f092-eebd-68d40d639962,GF1B-PMS-LEVEL1A-1228141293,GF1B,PMS,1228141293,,789930,1,30,2022-05-19,133298,22281,8.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220519/GF1B_PMS_E108.4_N32.4_20220519_L1A1228141293.tar.gz,"POLYGON((108.132358 32.808606,108.821684 32.678735,108.664036 32.087359,107.979185 32.21682,108.132358 32.808606))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220519/GF1B_PMS_E108.4_N32.4_20220519_L1A1228141293.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220519/GF1B_PMS_E108.4_N32.4_20220519_L1A1228141293_thumb.jpg,GF1B_PMS,,,,2022-05-19T03:44:43.000+0000,2022-05-19T03:44:53.000+0000,0.042331,-0.044485,,,,,,
3568c61c-98a6-699d-b794-06d9b27e8be8,GF1B-PMS-LEVEL1A-1228136480,GF1B,PMS,1228136480,,784928,1,1,2022-05-07,133123,22104,8.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220507/GF1B_PMS_E105.9_N29.7_20220507_L1A1228136480.tar.gz,"POLYGON((105.658367 30.02526,106.32858 29.897049,106.177681 29.304806,105.511396 29.432667,105.658367 30.02526))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220507/GF1B_PMS_E105.9_N29.7_20220507_L1A1228136480.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20220507/GF1B_PMS_E105.9_N29.7_20220507_L1A1228136480_thumb.jpg,GF1B_PMS,,,,2022-05-07T03:52:53.000+0000,2022-05-07T03:53:02.000+0000,0.040508,-0.028265,,,,,,
